no,code,name,description,school_name,places_for_work
15,car_voc_0015,ជាងកាត់ដេរសម្លៀកបំពាក់,ជាងកាត់ដេរសម្លៀកបំពាក់គឺជាអ្នកបំរើសេវាកាត់ដេរសំលៀកបំពាក់តាមតម្រូវការរបស់អតិថិជន។ គាត់ជាអ្នកកាត់ដេរ សំពត់ខ្លីឬវែង ខោប៉ាត់ រ៉ូបវែងខ្លី អាវរឹបឬរលុង អាវកឌុប ឬមូល សំពត់ខ្លីឬវែង ខោរឹបរាង...។ អាជីពនេះត្រូវគំនិតច្នៃម៉ូដថ្មីៗទាន់សម័យ រូសរាយរាកទាក់ គោរពពេលវេលា​ ជំនាញនេះសិក្សាតាមហាងកាត់ដេរ​រយៈពេល ៦ខែឡើងទៅ។,អង្គការមិត្តសំឡាញ់,ក្រុមហ៊ុនឯកជន និង អាជីវកម្មផ្ទាលខ្លួន 
,,,,,
16,car_voc_0016,អ្នកបោះពុម្ពឯកសារ,អ្នកបោះពុម្ពឯកសារ គឺជាអ្នកបំរើសេវាបោះពុម្ពឯកសារ វាយឯកសារ ។ គាត់ជាអ្នកទទួលខុសត្រូវរៀបចំឯកសារ ថតចម្លង​ ចេះដាក់ទឹកខ្មៅ ដាក់ក្រដាស មើលពណ៌ បញ្ជា ម៉ាស៊ីនបោះពុម្ពអុហ្វសិត។ អាជីពនេះត្រូវសិក្សាជំនាញ មូលដ្ឋានកុំព្យូទ័រ ឬ រដ្ឋបាល រយៈពេល ៣ខែ និងមានសញ្ញាបត្រកម្រិតបរិញ្ញាកាន់តែល្អ។ បុគ្គលិកត្រូវមានចំណេះដឹងកុំព្យូទ័រ និងចេះភាសាអង់គ្លេស។,មជ្ឈមណ្ឌលបណ្ដុះបណ្ដាលវិជ្ជាជីវៈតាមបណ្ដាលខេត្ត ក្រុង,ក្រុមហ៊ុនឯកជន និង បង្កើតអាជីវកម្មផ្ទាល់ខ្លួន
17,car_voc_0017,អ្នកផាត់មុខ,អ្នកផាត់មុខគឺជាអ្នកបំរើសេវាផាត់មុខឲ្យអតិថិជនដូចជា កាត់ ផ្លុំ អ៊ុតសក់ ផាត់មុខ ព្រមទាំងចេះប្រើផលិតផលទាក់ទងនឹងគ្រឿងសំអាងជាដើម។ គេត្រូវយល់ដឹងពីសិល្បះ និងមើលទម្រង់មុខរបស់ភ្ញៀវ ដើម្បីណែនាំពីម៉ូតសក់ដែលសាកសមនឹងគាត់។គេត្រូវតែជាមនុស្សមានសិល្បៈ គំនិតច្នៃប្រឌិត រួសរាយរាក់ទាក់ យកចិត្តទុកដាក់ រហ័សរហួន ហើយមានសុខភាពល្អផងដែរ។,អង្គការការីតាស​កម្ពុជា,ក្រុមហ៊ុនឯកជន និង បង្កើតអាជីវកម្មផ្ទាល់ខ្លួន
,,,,100. អង្គការសកម្មភាព ពុទ្ធសាសនាដើម្បីអភិវឌ្ឍន៍សង្គម,
18,car_voc_0018,ជាងជួសជុលម៉ូតូ,ជាងជួសជុលម៉ូតូ ជាអ្នកបំរើសេវាក្នុងការជួសជុល និងថែទាំផ្នែកខាងក្រៅ និងខាងក្នុងគ្រឿងម៉ាស៊ីន ដូចជា៖ ប្រអប់លេខ ហ្វ្រាំង  និងប្រព័ន្ឋភ្លើង និងការងារផ្សេងទៀត។ អាជីពនេះជាមនុស្សដែលរហ័សហួន និងរួសរាយរាក់ទាក់ គំនិតច្នៃប្រឌិត មានសុខភាពល្អ និងមានបច្ចេកទេសថ្មីៗ ក្នុងការជួសជុល និងគ្រឿងបន្លះផ្សេងៗ។ ជំនាញនេះ​សិក្សាវិជ្ជាជីវៈរយៈពេល ៦ ខែ និង​១​ឆ្នាំ ជាមួួយអង្គការ។​,100. អង្គការសកម្មភាព ពុទ្ធសាសនាដើម្បីអភិវឌ្ឍន៍សង្គម,ក្រុមហ៊ុនឯកជន និងអាជីវកម្មផ្ទាល់ខ្លួន 
,,,,103. សាលាបច្ចេកទេសដុនបូស្កូ កម្ពុជា,
,,,,102. អង្គការ​ដើម្បី​ភាពញញឹម​នៃកុមារ,
19,car_voc_0019,ចុងភៅ,ចុងភៅជាអ្នកបំរើសេវាធ្វើម្ហូបច្រើនមុខណាស់ដូចជា ម្ហូបខ្មែរ បារាំង អាមេរិច ចិន ថៃ ជាដើម។ អាជីពនេះត្រូវបង្កើតមុខម្ហូបថ្មីៗ ដើម្បីបំពេញចិត្តរបស់ភ្ញៀវ ឬអតិថិជន មានទំនាក់ទំនងល្អជាមួយនឹងក្រុមការងារ ។​ អាជីពនជាមនុស្សដែលមានការប្រុងប្រយ័ត្នខ្ពស់ មានសុខភាពល្អ មានចំណង់ចំណូលចិត្តធ្វើម្ហូប អត់ធ្មត់ និងមានការច្នៃប្រឌិតមុខម្ហូប។ ជំនាញនេះសិក្សារយៈពេល ៦ ខែ ឬ ១ ឆ្នាំ ជំនាញនេះគូរចេះនិយាយភាសាអង់គ្លេសកាន់តែល្អ។  ,102. អង្គការ​ដើម្បី​ភាពញញឹម​នៃកុមារ,ភោជនីយដ្ឋាន សណ្ឋាគារ និង បង្កើតអាជីវកម្មផ្ទាល់ខ្លួន 
,,,,100. អង្គការសកម្មភាព ពុទ្ធសាសនាដើម្បីអភិវឌ្ឍន៍សង្គម,
,,,,103. សាលាបច្ចេកទេសដុនបូស្កូ កម្ពុជា,
20,car_voc_0020,ជាងផ្សារដែក,ជាងផ្សារដែក ជាអ្នកដែលមានជំនាញផ្នែកផ្សារ បំនែកនៃដែកដើម្បីយកទៅប្រើប្រាស់តាមតម្រូវការអតិថិជនដូចជា៖ ទ្វារ តុ និងសម្ភារៈផ្សេងៗទៀត។ អ្នកជំនាញនេះគឺជាមនុស្សដែលមានការប្រុងប្រយ័ត្នខ្ពស់ មានសុខភាពរឹងមាំ និង តស៊ូចំពោះការងារ។ អាជីពនេះត្រូវសិក្សាជំនាញបណ្ដុះបណ្ដាលវិជ្ជាជីវៈផ្សារដែករយៈពេល ៣ខែ ទៅ៦ ខែ។ ,100. អង្គការសកម្មភាព ពុទ្ធសាសនាដើម្បីអភិវឌ្ឍន៍សង្គម,បង្កើតអាជីវកម្មផ្ទាល់ខ្លួន ក្រុមហ៊ុនឯកជន 
,,,,102. អង្គការ​ដើម្បី​ភាពញញឹម​នៃកុមារ,
,,,,103. សាលាបច្ចេកទេសដុនបូស្កូ កម្ពុជា,
21,car_voc_0021,ជាងមាស,ជាងមាស គឺជាអ្នកបំរើសេវាធ្វើគ្រឿងអលង្ការលំអ ដូចជា៖ ខ្សែក ខ្សែដៃ ចិញ្ចៀនមាស ពេជ្រ ប្លាទីន។ អាជីពនេះជាមនុស្សមួយដែលមានគំនិតសិល្បៈ កែច្នៃប្រឌិតម៉ូតថ្មីៗ និងបច្ចេកទេសល្អ។ ការងារនេះតម្រូវឱ្យគាត់មានការអត់ធ្មត់ យកចិត្តទុកដាក់ និង ប្រិតប្រៀបទៀតផង។ ,បងប្អូន មេជាងកែច្នៃមាស,ហាងលក់មាស ប្រកបអាជីវកម្មដោយខ្លួនឯង
22,car_voc_0022,ជាងកាត់សក់,ជាងកាត់សក់ គឺជាអ្នកបំរើសេវាអតិថិជនដែលយល់ដឹងពីតម្រូវការ និងចំណង់ចំណូលចិត្តអតិថិជន​គ្រប់បច្ចេកទេសកាត់សក់ដូចជា កាត់ ផ្លុំ អ៊ុតសក់ព្រមទាំងចេះប្រើផលិតផលដូចជាសាប៊ូកក់សក់ជាដើម។អាជីពនេះជាមនុស្សមួយដែលមានសិល្បៈ និងមានគំនិតច្នៃប្រឌិត ម៉ូតសក់ និងចេះមើលទម្រង់មុខរបស់ភ្ញៀវដែលសាកសមទៅនឹងទឹកមុខ និងសរួសរាយរាក់ទាក់ យកចិត្តទុកដាក់ រហ័សរហួន ហើយមានសុខភាពល្អផងដែរ។ ,100. អង្គការសកម្មភាព ពុទ្ធសាសនាដើម្បីអភិវឌ្ឍន៍សង្គម,ហាងកាត់សក់ ប្រកបអាជីវកម្មដោយខ្លួនឯង
,,,,អង្គការការីតាស​កម្ពុជា,
