no,code,name,description,school_name,places_for_work
9,car_tec_0009,អ្នកគ្រប់គ្រងបណ្ដាញកុំព្យូទ័រ,អ្នកគ្រប់គ្រងបណ្តាញកុំព្យូទ័រជាអ្នក ត ភ្ជាប់បណ្តាញជួយ​ដំណើរការ និង​គ្រប់គ្រង រចនាសម្ព័ន្ធបណ្តាញរបស់​ក្រុម​ហ៊ុន។ ពួកគេ​ថែទាំប្រព័ន្ធបណ្តាញ ដូច្នេះនិយោជិត ភ្ញៀវ និ ងអតិ ថិ ជនអាចទំនាក់ទំនងតាមរយៈ បណ្តា​ញសុវត្ថិ ភាព (អ៊ីម៉ែល ទូរស័ព្ទ)​។ ពួកគេ​ធានា​ដល់​ប្រសិទ្ធភាព​ប្រចាំថ្ងៃនៃ​ប្រតិបត្តិ​ការក្នុងក្រុមហ៊ុន។,6. សាកលវិទ្យាល័យភូមិន្ទវិចិត្រសិល្បៈ,ក្រុមហ៊ុនឯកជន  ប្រកបអាជីវកម្មខ្លួនឯង
,,,,70. សាកលវិទ្យាល័យលីមកុកវីង យូនឺវឺស៊ីធី អហ្វ គ្រេអេទីវ តិចណូឡូជី,
10,car_tec_0010,អ្នកជួសជុលសម្ភារ ឬបរិក្ខាកុំព្យូទ័រ,កុំព្យូទ័រគឺជាឧបករណ៍សំខាន់សម្រាប់ជួយសម្រួលក្នុងកិច្ចការងារផ្សេងៗប្រចាំថ្ងៃ ចុះបើកុំព្យូទ័រដែលយើងកំពុងប្រើៗហើយមានបញ្ហា តើអ្នកណាអាចជួយយើងបាន។ អ្នកជួសជុលសម្ភារ ឬបរិក្ខាកុំព្យូទ័រ គឺជាអ្នកជំនាញក្នុងការជួសជុលកម្មវិធី និងគ្រឿងបន្លាស់កុំព្យូទ័រ។ គាត់គឺមនុស្សរហ័សរហួន ចេះដោះស្រាយបញ្ហា និង អត់ធ្មត់។,6. សាកលវិទ្យាល័យភូមិន្ទវិចិត្រសិល្បៈ,ក្រុមហ៊ុនឯកជន  ប្រកបអាជីវកម្មខ្លួនឯង
,,,,3. សាកលវិទ្យាល័យភូមិន្ទនិតិសាស្ត្រ និង វិទ្យាសាស្ត្រសេដ្ឋកិច្ច,
,,,,70. សាកលវិទ្យាល័យ Limkokwing,
11,car_tec_0011,អ្នកគ្រប់គ្រងប្រព័ន្ធទិន្នន័យ,អ្នកគ្រប់គ្រងប្រព័ន្ឋទិន្នន័យត្រូវគ្រប់គ្រងប្រព័ន្ធមូលដ្ឋានទិន្នន័យដោយធ្វើការជាមួយឯកសារ និងកុំព្យូទ័រ គាត់គឺជាអ្នកទទួលខុសត្រូវក្នុងការតំឡើងទិន្នន័យចូលក្នុងប្រព័ន្ធ ធ្វើបច្ចុបន្នភាបឯកសារ ទិន្នន័យដែលមានការប្រែប្រួល ថែរក្សា និងចែករំលែកព័ត៌មានសំខាន់ៗដល់នាយកដ្ឋានផ្សេងទៀត។គាត់ត្រូវជាមនុស្សចេះដោះស្រាយបញ្ហា ឆ្លាសវៃ និងរហ័សរហួន និងតម្រូវអោយមានជំនាញប្រព័ន្ធពត៌មានផងដែរ។ ,6. សាកលវិទ្យាល័យភូមិន្ទវិចិត្រសិល្បៈ,ក្រុមហ៊ុនឯកជន: ស្ថាប័នរដ្ឋ ; ធនាគារ;  ប្រកបអាជីវកម្មខ្លួនឯង
,,,,3. សាកលវិទ្យាល័យភូមិន្ទនិតិសាស្ត្រ និង វិទ្យាសាស្ត្រសេដ្ឋកិច្ច,
12,car_tec_0012,អ្នកបច្ចេកទេសកាត់តភាពយន្ត,"ភាពយន្តគឺទស្សនីយភាពដែលត្រូវបានចាក់បញ្ចាំងតាមទូរទស្សន៍ ប្រព័ន្ឋផ្សព្វផ្សាយផ្សេងៗ។ តើអ្នកណាជាអ្នកផលិតខ្សែភាពយន្ត? ទទួលបានព័ត៌មានសង្ខេបជាគ្រោងនៃវីដេអូនិង / ឬបញ្ជីថតសាច់រឿង។
គាត់ឬនាងជាអ្នកប្រមូលផ្តុំខ្សែភាពយន្តដើមទាំងអស់ដោយការថតរូបកាមេរ៉ាត្រូវបានកត់ត្រាឬបញ្ជូនទៅខ្សែវីដេអូក្នុងការត្រៀមខ្លួនសម្រាប់បញ្ចូលទៅក្នុងកុំព្យូទ័រ។ កាត់ឬនាងធ្វើ ឌីជីថលកាត់ឯកសារដើម្បីដាក់បញ្ចូលគ្នានូវលំដាប់នៃខ្សែភាពយន្តនិងការសម្រេចចិត្តនូវអ្វីដែលអាចប្រើបាន។ត្រួតពិនិត្យលើគុណភាពនិងវឌ្ឍនភាពនៃវិស្វកម្មអូឌីយ៉ូនិងវីដេអូនិងកែសម្រួល។
",60. សាកលវិទ្យាល័យបញ្ញាសាស្ត្រកម្ពុជា,ក្រុមហ៊ុនឯកជន  ប្រកបអាជីវកម្មខ្លួនឯង
,,,,1. សាកលវិទ្យាល័យភូមិន្ទភ្នំពេញ,
,,,,73. សាកលវិទ្យាល័យ កម្ពុជា,
13,car_tec_0013,អ្នកគ្រប់គ្រងចង្វាក់ផលិតកម្មក្នុងរោងចក្រ,អ្នកមានឆ្ងល់ទេថា តើការងារក្នុងរោងចក្រធំៗ ដំណើការយ៉ាងដូចម្ដេច? តើផ្នែកផ្សេងៗធ្វើការជាមួយគ្នាដូចម្ដេច ដើម្បីឱ្យការផលិតមានប្រសិទ្ឋភាព?អ្នកត្រួតពិនិត្យសង្វាក់ផលិតកម្មគឺជាអ្នកមើលការខុសត្រូវនិងសម្របសម្រួលដំណើការផលិតទាំងស្រុងក្នុងរោងចក្រ ឬក្រុមហ៊ុន។ អ្នកត្រួតពិនិត្យធ្វើឱ្យប្រាកដថា ការងារនីមួយៗដូចជា ការត្រួតពិនិត្យ សង្វាក់ផលិតកម្ម ប្រព្រឹត្តទៅប្រកបដោយប្រសិទ្ឋភាព និង ទៅតាមពេលវេលាសមស្រប។ អ្នកត្រួតពិនិត្យសង្វាក់ផលិតកម្មត្រូវរៀបចំផែនការតាមដាន និងវាយតម្លៃការងាររបស់ខ្លួន ផ្អែកតាមលក្ខណៈវិនិច្ឆ័យដែលបានកំណត់។ជំនាញផ្ទាល់ខ្លួនពិតជាសំខាន់ណាស់សម្រាប់ការងារវិជ្ជមាននិងជម្រុញទឹកចិត្តខ្លួនឯង។ ដើម្បីក្លាយជាអ្នកត្រួតពិនិត្យសង្វាក់ផលិតកម្ម អ្នកត្រូវតែសិក្សាលើជំនាញ ពាណិជ្ជកម្ម និងការគ្រប់គ្រងពាណិជ្ជកម្ម និងមានបទពិសោធន៍ក្នុងផ្នែកនេះពីមួយទៅពីរឆ្នាំសិន។ ,59. សាកលវិទ្យាល័យ ប៊ែលធីអន្តរជាតិ,រោងចក្រ សហគ្រាស​ (ឧ.រោងចក្រផលិត សម្លៀកបំពាក់ ចំណីអាហារ..)
,,,,60. សាកលវិទ្យាល័យបញ្ញាសាស្ត្រកម្ពុជា,
14,car_tec_0014,ជាងចំលាក់ ឬសូន្យរូប,ដៃកាន់ពន្លាក ដែកដាប់ឬឧបករណ៍ផ្សេងៗទៀត គេប្រែក្លាយឈើ ឬដុំថ្មមួយដុំឱ្យទៅជារូបចំលាក់ដ៏ស្រស់ស្អាត។ គេពូកែឆ្លាក់រូបពីដុំថ្ម ឬឈើ និងជំនាញសូន្យរូបបដិមាផ្សេងៗពីស៊ីម៉ងតិ៍ និង មានចំណេះដឹងជ្រៅជ្រះផ្នែកសិល្បះ ពូកែអត់ធ្មត់ មិនឆាប់ខឹងឆេវឆាវ ចេះប្រមូលអារម្មណ៍ និងម៉ត់ចត់ល្អិតល្អន់បំផុត។ ,6. សាកលវិទ្យាល័យភូមិន្ទវិចិត្រសិល្បៈ,ក្រុមហ៊ុនឯកជន  ប្រកបអាជីវកម្មខ្លួនឯង
15,car_tec_0015,បសុពេទ្យ (ពេទ្យសត្វ),បសុពេទ្យជាអ្នកជំនាញថែទាំ បង្ការជំងឺសត្វ ដែលរួមទាំងសត្វចតុបាទ និងសត្វបក្សីផ្សេងៗ។  នៅតាមជនបទ និងនៅក្នុងកសិដ្ឋានចិញ្ចឹមសត្វ បសុពេទ្យនិងពិនិត្យសុខភាពសត្វ...ដើម្បីចាក់វាក់សាំងបង្ការ ឬព្យាបាលជំងឺ។ បសុពេទ្យជាអ្នកផ្ដល់ដំបូន្មានដល់កសិករ និងអ្នកចិញ្ចឹមសត្វពីរបៀបថែទាំ ឲ្យចំណី និងព្យាបាលសត្វ។ ការងារនេះធ្វើការច្រើនត្រូវធ្វើជាពេទ្យពិនិត្យព្យាបាលសត្វផ្នែកជំងឺទូទៅ របស់សត្វ។,2. សាកលវិទ្យាល័យភូមិន្ទកសិកម្មចំការដូង, ក្រសួងអភិវឌ្ឍជនបទ ក្រសួងកសិកម្ម និងរុក្ខប្រមាញ និង នេសាទ  ក្រុមហ៊ុនឯកជន បង្កើតអាជីវកម្ម
,,,,19. សាលាជាតិកសិកម្មព្រែកលៀប,
,,,,11. សាកលវិទ្យាល័យ ជាស៊ីម កំចាយមារ,
,,,,20. វិទ្យាស្ថានជាតិ កសិកម្ម កំពង់ចាម,
,,,,9. សាកលវិទ្យាល័យមានជ័យ,
16,car_tec_0016,អ្នកជលផល,អ្នកជលផលជាអ្នកសិក្សាស្រាវជ្រាវ អងេ្កតតាមដាន សា្ថនភាពមច្ឆជាតិ  សត្វក្នុងទឹកផ្សេងៗ និងជីវចំរុះ អេកូឡូស៊ីក្នុងទឹក  ។ មានតួនាទីចងក្រង និងផ្សព្វផ្សាយឯកសារផលប៉ះពាល់រវាងការធ្វើនេសាទ ឬការប្រមាញ ដើម្បីបង្កើត រក្សាទុក ផ្លាស់ប្តូរ និងផ្សព្វផ្សាយទិន្នន័យមួយជាក់លាក់ ដើម្បីអភិរក្ស វារីសត្វ និងវារីរុក្ខជាតិនានា។ បង្កើនសមត្ថភាពមន្ទីរពិសោធន៍ខាងចំណី ជំងឺវារីសត្វ វារីរុក្ខជាតិ ។ ជាអ្នកសិក្សាស្រាវជ្រាវ និងផលិតប្រភេទសត្វក្នុងទឹក និងលើគោក និងរុក្ខជាតិដែលជិតផុតពូជ គ្រប់គ្រងធនធានជលផលក្នងទឹក លើគោក។​ អ្នកដែលមានជំនាញនេះតម្រូវឲ្យមានកម្រិតសញ្ញាបត្រ៖ បរិញ្ញាបត្រជាន់ខ្ពស់ ឯកទេសជលផលរយៈពេលសិក្សាពី៤ឆ្នាំទឿងទៅ ៦ឆ្នាំ។ ,2. សាកលវិទ្យាល័យភូមិន្ទកសិកម្មចំការដូង, ក្រសួងអភិវឌ្ឍជនបទ ក្រសួងកសិកម្ម និងរុក្ខប្រមាញ និង នេសាទ  ក្រុមហ៊ុនឯកជន បង្កើតអាជីវកម្ម
,,,,19. សាលាជាតិកសិកម្មព្រែកលៀប,
,,,,11. សាកលវិទ្យាល័យ ជាស៊ីម កំចាយមារ,
,,,,20. វិទ្យាស្ថានជាតិ កសិកម្ម កំពង់ចាម,
17,car_tec_0017,អ្នកថែទាំកសិដ្ឋានចិញ្ចឹមសត្វ,នៅប្រទេសកម្ពុជាបច្ចុប្បន្ន ការចិញ្ចឹមសត្វដើម្បីយកសាច់លក់ក្នុងស្រុក និងនាំចេញទៅបរទេសមានការលូតលាស់ច្រើន ។​ អ្នកថែទាំ កសិដ្ឋានចិញ្ចឹមសត្វមានតួនាទីថែទាំ ឲ្យចំណី ព្យាបាល ដែលខ្លួនមើលថែរមានដូចជា គោ ក្របី សេះ ជ្រូក មាន់ ទា.......។ អ្នកថែរកសិដ្ឋានក៍ដូចជាកសិករម្នាក់ដែរ ឲ្យចំណីសត្វ​ តាមដានស្ថានភាពសុខភាពសត្វ និងចេះផ្តល់ការរក្សាសត្វពេលសត្វឈឺ។ ,2. សាកលវិទ្យាល័យភូមិន្ទកសិកម្មចំការដូង,ក្រុមហ៊ុនកសិដ្ឋាស្ថានឯកជន បង្កើតអាជីវកម្ម
,,,,19. សាលាជាតិកសិកម្មព្រែកលៀប,
,,,,11. សាកលវិទ្យាល័យ ជាស៊ីម កំចាយមារ,
,,,,20. វិទ្យាស្ថានជាតិ កសិកម្ម កំពង់ចាម,
18,car_tec_0018,ក្សេត្រវិទូ,"ជាអ្នកស្រាវជ្រាវ និងជាវិស្វករផង។ ក្សេត្រវិទូចេះពិនិត្យមើលធញ្ញជាតិ ដែលសមស្របនឹងដាំនៅលើដីកន្លែងណាមួយចេះរិះរកវិធីព្យាបាលជំងឺដើមឈើហូបផ្លែ ចេះជ្រើសរើសសំរិតសំរាំង ចេះបង្កើតពូជរុក្ខជាតិថ្មីៗដូចជា៖ ពូជស្វាយផ្អែម ពុទ្រាផ្លែធំ មៀនផ្លែសាច់ច្រើន......។ ក្សេត្រវិទូធ្វើការក្នុងបន្ទប់ពិសោធស្រាវជ្រាវ។ ប៉ុន្ដែមុខរបរនេះតម្រូវឲ្យគេចេះផ្ដល់យោ​បល់ដល់កសិករ ព្រោះកសិករត្រូវទប់ទល់ប្រឆាំងនឹងដង្កូវបំផ្លាញដំណាំ ជ្រើសរើសពូជស្រូវសមស្របទៅនឹងដី ជួយការពារព្រៃឈើ....។ ការងារជួយធ្វើឲ្យមានការអភិវឌ្ឍ វិស័យកសិកម្ម និងកិច្ចការពារបរិស្ថាន។
",2. សាកលវិទ្យាល័យភូមិន្ទកសិកម្មចំការដូង,ក្រសួងអភិវឌ្ឍជនបទ និងរុក្ខប្រមាញ និង នេសាទ; ក្រសួងបរិស្ថាន; ក្រសួងកសិកម្ម; ក្រុមហ៊ុនឯកជន បង្កើតអាជីវកម្ម
,,,,19. សាលាជាតិកសិកម្មព្រែកលៀប,
,,,,11. សាកលវិទ្យាល័យ ជាស៊ីម កំចាយមារ,
,,,,20. វិទ្យាស្ថានជាតិ កសិកម្ម កំពង់ចាម,
,,,,8. សាកលវិទ្យាល័យបាត់ដំបង,
